"pat" "th"
1892 0
1283 1
985 0
1016 0
1330 0
1340 0
1117 0
1616 0
1981 0
1885 0
2141 0
2781 24
2754 1
2819 3
2948 0
3693 0
4659 0
5058 3
5070 1
5530 4
4716 3
3593 7
3511 8
3210 4
3039 5
2750 4
2437 0
2070 5
2244 0
2644 1
2625 0
2136 0
2298 6
2250 0
1937 0
1444 0
1775 2
1718 0
1824 0
1476 3
1408 0
1418 1
998 0
645 10
407 0
478 0
677 0
634 4
703 0
786 0
931 0
823 0
547 0
487 0
604 0
473 0
529 0
651 0
850 0
1483 1
1984 0
2258 11
2127 5
1820 2
1401 4
1416 1
1263 1
1209 0
963 0
813 0
506 0
390 0
459 0
672 0
675 0
591 0
385 0
196 0
343 4
360 0
517 0
866 0
1220 0
1861 0
2154 8
2105 1
2582 5
2315 2
1900 0
1473 0
1246 0
802 0
534 3
595 0
630 0
422 0
526 0
488 0
252 0
229 0
331 0
367 0
291 0
446 0
469 0
340 0
220 0
255 0
290 0
375 13
608 12
708 4
494 0
254 23
196 84
210 20
85 77
88 39
94 48
185 50
27 72
25 83
157 95
113 189
211 327
210 558
184 654
84 560
60 497
145 520
95 632
91 688
368 594
727 555
1372 480
1707 401
1689 374
1446 110
1483 267
2206 358
2375 269
2132 606
1960 1271
1400 1740
884 2039
418 1839
276 1559
373 997
595 530
922 226
1223 154
1661 209
2051 220
2075 302
2483 228
2599 444
2438 869
2590 632
1951 362
1584 224
1237 173
1181 597
697 737
494 824
582 825
669 722
401 720
216 814
483 655
663 434
680 251
526 177
894 300
1357 760
1556 1102
1296 1941
1477 1855
942 1546
1043 1387
1034 1583
725 1095
534 1202
566 962
612 920
602 709
797 707
956 646
866 416
975 312
1040 251
1094 344
1116 322
1304 477
1055 431
791 583
510 423
562 310
712 174
860 161
671 76
826 86
571 0
653 10
740 3
717 4
802 84
812 131
812 358
840 284
1030 388
1148 153
1260 124
1281 0
1581 5
1859 3
1888 0
1936 2
1993 2
2392 0
2473 0
2250 0
2097 0
2049 1
2191 1
2545 6
3050 6
3860 3
4865 10
5679 6
5373 5
5143 4
4740 5
4288 0
4142 3
3429 0
2915 1
2583 5
1905 0
1584 0
864 0
1064 0
1041 0
1451 3
1608 2
1621 4
2118 4
2811 39
3299 26
4226 67
4958 23
5226 49
5361 5
5246 6
4863 3
4182 4
3245 0
2657 7
1860 13
1306 5
901 7
1020 2
868 24
1019 0
1515 2
1286 2
1212 0
1065 0
1252 0
1993 1
2582 0
3616 0
3738 0
3802 0
4386 0
5289 0
4652 1
3670 0
2564 0
1941 2
2366 4
2910 4
3463 9
3471 16
3958 33
4256 43
4817 22
6049 34
6423 38
6360 51
6131 64
5571 50
6340 47
6742 40
6545 37
6532 37
6931 39
6486 32
6094 33
5998 31
5178 37
4509 29
4026 17
3199 16
